year,ctryname
1978,Afghanistan
1979,Afghanistan
1980,Afghanistan
1981,Afghanistan
1982,Afghanistan
1983,Afghanistan
1984,Afghanistan
1985,Afghanistan
1986,Afghanistan
1987,Afghanistan
1988,Afghanistan
1989,Afghanistan
1990,Afghanistan
1991,Afghanistan
1992,Afghanistan
1993,Afghanistan
1994,Afghanistan
1995,Afghanistan
1996,Afghanistan
1997,Afghanistan
1998,Afghanistan
1999,Afghanistan
2000,Afghanistan
2001,Afghanistan
2003,Afghanistan
2004,Afghanistan
2005,Afghanistan
2006,Afghanistan
2007,Afghanistan
2008,Afghanistan
2009,Afghanistan
2010,Afghanistan
2011,Afghanistan
2012,Afghanistan
2013,Afghanistan
1946,Albania
1954,Algeria
1955,Algeria
1956,Algeria
1957,Algeria
1958,Algeria
1959,Algeria
1960,Algeria
1961,Algeria
1962,Algeria
1963,Algeria
1991,Algeria
1992,Algeria
1993,Algeria
1994,Algeria
1995,Algeria
1996,Algeria
1997,Algeria
1998,Algeria
1999,Algeria
2000,Algeria
2001,Algeria
2002,Algeria
2003,Algeria
2004,Algeria
2005,Algeria
2006,Algeria
2007,Algeria
2008,Algeria
2009,Algeria
2010,Algeria
2011,Algeria
2012,Algeria
2013,Algeria
1961,Angola
1962,Angola
1963,Angola
1964,Angola
1965,Angola
1966,Angola
1967,Angola
1968,Angola
1969,Angola
1970,Angola
1971,Angola
1972,Angola
1973,Angola
1974,Angola
1975,Angola
1976,Angola
1977,Angola
1978,Angola
1979,Angola
1980,Angola
1981,Angola
1982,Angola
1983,Angola
1984,Angola
1985,Angola
1986,Angola
1987,Angola
1988,Angola
1989,Angola
1990,Angola
1991,Angola
1992,Angola
1993,Angola
1994,Angola
1995,Angola
1996,Angola
1997,Angola
1998,Angola
1999,Angola
2000,Angola
2001,Angola
2002,Angola
2004,Angola
2007,Angola
2009,Angola
1955,Argentina
1963,Argentina
1974,Argentina
1975,Argentina
1976,Argentina
1977,Argentina
1982,Argentina
2003,Australia
1991,Azerbaijan
1992,Azerbaijan
1993,Azerbaijan
1994,Azerbaijan
1995,Azerbaijan
2005,Azerbaijan
2012,Azerbaijan
1975,Bangladesh
1976,Bangladesh
1977,Bangladesh
1978,Bangladesh
1979,Bangladesh
1980,Bangladesh
1981,Bangladesh
1982,Bangladesh
1983,Bangladesh
1984,Bangladesh
1985,Bangladesh
1986,Bangladesh
1987,Bangladesh
1988,Bangladesh
1989,Bangladesh
1990,Bangladesh
1991,Bangladesh
2005,Bangladesh
2006,Bangladesh
1946,Bolivia
1952,Bolivia
1967,Bolivia
1992,Bosnia-Herzegovina
1993,Bosnia-Herzegovina
1994,Bosnia-Herzegovina
1995,Bosnia-Herzegovina
1962,Brunei
1985,Burkina Faso
1987,Burkina Faso
1965,Burundi
1991,Burundi
1992,Burundi
1994,Burundi
1995,Burundi
1996,Burundi
1997,Burundi
1998,Burundi
1999,Burundi
2000,Burundi
2001,Burundi
2002,Burundi
2003,Burundi
2004,Burundi
2005,Burundi
2006,Burundi
2008,Burundi
1946,Cambodia (Kampuchea)
1947,Cambodia (Kampuchea)
1948,Cambodia (Kampuchea)
1949,Cambodia (Kampuchea)
1950,Cambodia (Kampuchea)
1951,Cambodia (Kampuchea)
1952,Cambodia (Kampuchea)
1953,Cambodia (Kampuchea)
1967,Cambodia (Kampuchea)
1968,Cambodia (Kampuchea)
1969,Cambodia (Kampuchea)
1970,Cambodia (Kampuchea)
1971,Cambodia (Kampuchea)
1972,Cambodia (Kampuchea)
1973,Cambodia (Kampuchea)
1974,Cambodia (Kampuchea)
1975,Cambodia (Kampuchea)
1976,Cambodia (Kampuchea)
1977,Cambodia (Kampuchea)
1978,Cambodia (Kampuchea)
1979,Cambodia (Kampuchea)
1980,Cambodia (Kampuchea)
1981,Cambodia (Kampuchea)
1982,Cambodia (Kampuchea)
1983,Cambodia (Kampuchea)
1984,Cambodia (Kampuchea)
1985,Cambodia (Kampuchea)
1986,Cambodia (Kampuchea)
1987,Cambodia (Kampuchea)
1988,Cambodia (Kampuchea)
1989,Cambodia (Kampuchea)
1990,Cambodia (Kampuchea)
1991,Cambodia (Kampuchea)
1992,Cambodia (Kampuchea)
1993,Cambodia (Kampuchea)
1994,Cambodia (Kampuchea)
1995,Cambodia (Kampuchea)
1996,Cambodia (Kampuchea)
1997,Cambodia (Kampuchea)
1998,Cambodia (Kampuchea)
2011,Cambodia (Kampuchea)
1957,Cameroon
1958,Cameroon
1959,Cameroon
1960,Cameroon
1961,Cameroon
1984,Cameroon
1996,Cameroon
2001,Central African Republic
2002,Central African Republic
2006,Central African Republic
2009,Central African Republic
2010,Central African Republic
2011,Central African Republic
2012,Central African Republic
2013,Central African Republic
1966,Chad
1967,Chad
1968,Chad
1969,Chad
1970,Chad
1971,Chad
1972,Chad
1976,Chad
1977,Chad
1978,Chad
1979,Chad
1980,Chad
1981,Chad
1982,Chad
1983,Chad
1984,Chad
1986,Chad
1987,Chad
1989,Chad
1990,Chad
1991,Chad
1992,Chad
1993,Chad
1994,Chad
1997,Chad
1998,Chad
1999,Chad
2000,Chad
2001,Chad
2002,Chad
2003,Chad
2005,Chad
2006,Chad
2007,Chad
2008,Chad
2009,Chad
2010,Chad
1973,Chile
1946,China
1947,China
1948,China
1949,China
1950,China
1954,China
1956,China
1958,China
1959,China
1962,China
1967,China
1969,China
1974,China
1978,China
1979,China
1980,China
1981,China
1983,China
1984,China
1986,China
1987,China
1988,China
2008,China
1964,Colombia
1965,Colombia
1966,Colombia
1967,Colombia
1968,Colombia
1969,Colombia
1970,Colombia
1971,Colombia
1972,Colombia
1973,Colombia
1974,Colombia
1975,Colombia
1976,Colombia
1977,Colombia
1978,Colombia
1979,Colombia
1980,Colombia
1981,Colombia
1982,Colombia
1983,Colombia
1984,Colombia
1985,Colombia
1986,Colombia
1987,Colombia
1988,Colombia
1989,Colombia
1990,Colombia
1991,Colombia
1992,Colombia
1993,Colombia
1994,Colombia
1995,Colombia
1996,Colombia
1997,Colombia
1998,Colombia
1999,Colombia
2000,Colombia
2001,Colombia
2002,Colombia
2003,Colombia
2004,Colombia
2005,Colombia
2006,Colombia
2007,Colombia
2008,Colombia
2009,Colombia
2010,Colombia
2011,Colombia
2012,Colombia
2013,Colombia
1989,Comoros
1997,Comoros
1993,"Congo (Brazzaville, Republic of Congo)"
1997,"Congo (Brazzaville, Republic of Congo)"
1998,"Congo (Brazzaville, Republic of Congo)"
1999,"Congo (Brazzaville, Republic of Congo)"
2002,"Congo (Brazzaville, Republic of Congo)"
1948,Costa Rica
1992,Croatia
1993,Croatia
1995,Croatia
1953,Cuba
1956,Cuba
1957,Cuba
1958,Cuba
1961,Cuba
1955,Cyprus
1956,Cyprus
1957,Cyprus
1958,Cyprus
1959,Cyprus
1974,Cyprus
1991,Djibouti
1992,Djibouti
1993,Djibouti
1994,Djibouti
1999,Djibouti
2008,Djibouti
1965,Dominican Republic
1960,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1961,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1962,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1964,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1965,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1967,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1977,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1978,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1996,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1997,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1998,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1999,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
2000,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
2001,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
2006,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
2007,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
2008,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
2012,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
2013,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1995,Ecuador
1948,Egypt
1949,Egypt
1951,Egypt
1952,Egypt
1956,Egypt
1967,Egypt
1969,Egypt
1970,Egypt
1973,Egypt
